GEO.id,GEO.id2,GEO.display-label,HC01_VC03,HC01_VC48,HC01_VC92,HC03_VC92,HC01_VC93,HC03_VC93
Id,Id2,Geography,Estimate; SEX AND AGE - Total population,Estimate; RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population,Percent; HISPANIC OR LATINO AND RACE - Total population,Estimate; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race),Percent; HISPANIC OR LATINO AND RACE - Total population - Hispanic or Latino (of any race)
8600000US01236,1236,ZCTA5 01236,1197,1197,1197,1197,58,4.8
8600000US01237,1237,ZCTA5 01237,2662,2662,2662,2662,19,0.7
8600000US01238,1238,ZCTA5 01238,5917,5917,5917,5917,122,2.1
8600000US01240,1240,ZCTA5 01240,4493,4493,4493,4493,119,2.6
8600000US01242,1242,ZCTA5 01242,475,475,475,475,0,0
8600000US01243,1243,ZCTA5 01243,333,333,333,333,0,0
8600000US01244,1244,ZCTA5 01244,108,108,108,108,0,0
8600000US01245,1245,ZCTA5 01245,803,803,803,803,4,0.5
8600000US01247,1247,ZCTA5 01247,15703,15703,15703,15703,500,3.2
8600000US01253,1253,ZCTA5 01253,742,742,742,742,4,0.5
8600000US01254,1254,ZCTA5 01254,977,977,977,977,2,0.2
8600000US01255,1255,ZCTA5 01255,859,859,859,859,18,2.1
8600000US01256,1256,ZCTA5 01256,764,764,764,764,16,2.1
8600000US01257,1257,ZCTA5 01257,2138,2138,2138,2138,10,0.5
8600000US01258,1258,ZCTA5 01258,357,357,357,357,40,11.2
8600000US01259,1259,ZCTA5 01259,506,506,506,506,0,0
8600000US01260,1260,ZCTA5 01260,447,447,447,447,0,0
8600000US01262,1262,ZCTA5 01262,1110,1110,1110,1110,66,5.9
8600000US01264,1264,ZCTA5 01264,205,205,205,205,14,6.8
8600000US01266,1266,ZCTA5 01266,1360,1360,1360,1360,38,2.8
8600000US01267,1267,ZCTA5 01267,7853,7853,7853,7853,575,7.3
8600000US01270,1270,ZCTA5 01270,813,813,813,813,13,1.6
8600000US01301,1301,ZCTA5 01301,17715,17715,17715,17715,1264,7.1
8600000US01330,1330,ZCTA5 01330,1468,1468,1468,1468,29,2
8600000US01331,1331,ZCTA5 01331,13281,13281,13281,13281,664,5
8600000US01337,1337,ZCTA5 01337,2626,2626,2626,2626,41,1.6
8600000US01338,1338,ZCTA5 01338,170,170,170,170,0,0
8600000US01339,1339,ZCTA5 01339,1472,1472,1472,1472,22,1.5
8600000US01340,1340,ZCTA5 01340,1642,1642,1642,1642,11,0.7
8600000US01341,1341,ZCTA5 01341,1743,1743,1743,1743,44,2.5
8600000US01342,1342,ZCTA5 01342,1759,1759,1759,1759,97,5.5
8600000US01343,1343,ZCTA5 01343,46,46,46,46,0,0
8600000US01344,1344,ZCTA5 01344,1518,1518,1518,1518,16,1.1
8600000US01346,1346,ZCTA5 01346,464,464,464,464,4,0.9
8600000US01347,1347,ZCTA5 01347,126,126,126,126,0,0
8600000US01349,1349,ZCTA5 01349,1231,1231,1231,1231,0,0
8600000US01350,1350,ZCTA5 01350,86,86,86,86,0,0
8600000US01351,1351,ZCTA5 01351,2209,2209,2209,2209,37,1.7
8600000US01354,1354,ZCTA5 01354,1604,1604,1604,1604,6,0.4
8600000US01355,1355,ZCTA5 01355,917,917,917,917,4,0.4
8600000US01360,1360,ZCTA5 01360,3012,3012,3012,3012,56,1.9
8600000US01364,1364,ZCTA5 01364,7819,7819,7819,7819,124,1.6
8600000US01366,1366,ZCTA5 01366,1218,1218,1218,1218,24,2
8600000US01367,1367,ZCTA5 01367,605,605,605,605,18,3
8600000US01368,1368,ZCTA5 01368,1316,1316,1316,1316,18,1.4
8600000US01370,1370,ZCTA5 01370,4032,4032,4032,4032,19,0.5
8600000US01373,1373,ZCTA5 01373,4160,4160,4160,4160,140,3.4
8600000US01375,1375,ZCTA5 01375,3662,3662,3662,3662,274,7.5
8600000US01376,1376,ZCTA5 01376,5096,5096,5096,5096,319,6.3
8600000US01378,1378,ZCTA5 01378,744,744,744,744,13,1.7
8600000US01379,1379,ZCTA5 01379,836,836,836,836,14,1.7
8600000US01420,1420,ZCTA5 01420,40666,40666,40666,40666,10793,26.5
8600000US01430,1430,ZCTA5 01430,6210,6210,6210,6210,75,1.2
8600000US01431,1431,ZCTA5 01431,3195,3195,3195,3195,65,2
8600000US01432,1432,ZCTA5 01432,7703,7703,7703,7703,500,6.5
8600000US01434,1434,ZCTA5 01434,1712,1712,1712,1712,213,12.4
8600000US01436,1436,ZCTA5 01436,3460,3460,3460,3460,69,2
8600000US01438,1438,ZCTA5 01438,563,563,563,563,0,0
8600000US01440,1440,ZCTA5 01440,20496,20496,20496,20496,1652,8.1
8600000US01450,1450,ZCTA5 01450,11282,11282,11282,11282,149,1.3
8600000US01451,1451,ZCTA5 01451,4630,4630,4630,4630,73,1.6
8600000US01452,1452,ZCTA5 01452,4581,4581,4581,4581,78,1.7
8600000US01453,1453,ZCTA5 01453,41446,41446,41446,41446,7365,17.8
8600000US01460,1460,ZCTA5 01460,9754,9754,9754,9754,74,0.8
8600000US01462,1462,ZCTA5 01462,11150,11150,11150,11150,702,6.3
8600000US01463,1463,ZCTA5 01463,12049,12049,12049,12049,315,2.6
8600000US01464,1464,ZCTA5 01464,7572,7572,7572,7572,893,11.8
8600000US01467,1467,ZCTA5 01467,511,511,511,511,0,0
8600000US01468,1468,ZCTA5 01468,4124,4124,4124,4124,37,0.9
8600000US01469,1469,ZCTA5 01469,7454,7454,7454,7454,190,2.5
8600000US01473,1473,ZCTA5 01473,7566,7566,7566,7566,256,3.4
8600000US01474,1474,ZCTA5 01474,1964,1964,1964,1964,81,4.1
8600000US01475,1475,ZCTA5 01475,10738,10738,10738,10738,441,4.1
8600000US01501,1501,ZCTA5 01501,16412,16412,16412,16412,685,4.2
8600000US01503,1503,ZCTA5 01503,3098,3098,3098,3098,26,0.8
8600000US01504,1504,ZCTA5 01504,9201,9201,9201,9201,206,2.2
8600000US01505,1505,ZCTA5 01505,4524,4524,4524,4524,87,1.9
8600000US01506,1506,ZCTA5 01506,3406,3406,3406,3406,0,0
8600000US01507,1507,ZCTA5 01507,13379,13379,13379,13379,249,1.9
8600000US01510,1510,ZCTA5 01510,13855,13855,13855,13855,2294,16.6
8600000US01515,1515,ZCTA5 01515,2123,2123,2123,2123,49,2.3
8600000US01516,1516,ZCTA5 01516,8745,8745,8745,8745,655,7.5
8600000US01518,1518,ZCTA5 01518,3490,3490,3490,3490,75,2.1
8600000US01519,1519,ZCTA5 01519,6657,6657,6657,6657,174,2.6
8600000US01520,1520,ZCTA5 01520,15061,15061,15061,15061,450,3
8600000US01521,1521,ZCTA5 01521,2510,2510,2510,2510,61,2.4
8600000US01522,1522,ZCTA5 01522,3497,3497,3497,3497,313,9
8600000US01523,1523,ZCTA5 01523,7735,7735,7735,7735,503,6.5
8600000US01524,1524,ZCTA5 01524,6702,6702,6702,6702,171,2.6
8600000US01525,1525,ZCTA5 01525,227,227,227,227,65,28.6
8600000US01527,1527,ZCTA5 01527,13521,13521,13521,13521,181,1.3
8600000US01529,1529,ZCTA5 01529,3237,3237,3237,3237,52,1.6
8600000US01531,1531,ZCTA5 01531,1247,1247,1247,1247,15,1.2
8600000US01532,1532,ZCTA5 01532,14918,14918,14918,14918,463,3.1
8600000US01534,1534,ZCTA5 01534,6262,6262,6262,6262,318,5.1
8600000US01535,1535,ZCTA5 01535,4760,4760,4760,4760,67,1.4
8600000US01536,1536,ZCTA5 01536,7709,7709,7709,7709,685,8.9
8600000US01537,1537,ZCTA5 01537,2337,2337,2337,2337,259,11.1
8600000US01540,1540,ZCTA5 01540,11386,11386,11386,11386,571,5
8600000US01541,1541,ZCTA5 01541,3438,3438,3438,3438,115,3.3
8600000US01542,1542,ZCTA5 01542,2299,2299,2299,2299,19,0.8
8600000US01543,1543,ZCTA5 01543,8463,8463,8463,8463,183,2.2
8600000US01545,1545,ZCTA5 01545,36269,36269,36269,36269,1752,4.8
8600000US01550,1550,ZCTA5 01550,16858,16858,16858,16858,5735,34
8600000US01560,1560,ZCTA5 01560,4477,4477,4477,4477,261,5.8
8600000US01561,1561,ZCTA5 01561,243,243,243,243,0,0
8600000US01562,1562,ZCTA5 01562,11856,11856,11856,11856,381,3.2
8600000US01564,1564,ZCTA5 01564,8000,8000,8000,8000,376,4.7
8600000US01566,1566,ZCTA5 01566,6006,6006,6006,6006,223,3.7
8600000US01568,1568,ZCTA5 01568,7706,7706,7706,7706,310,4
8600000US01569,1569,ZCTA5 01569,13864,13864,13864,13864,210,1.5
8600000US01570,1570,ZCTA5 01570,16926,16926,16926,16926,1955,11.6
8600000US01571,1571,ZCTA5 01571,11637,11637,11637,11637,300,2.6
8600000US01581,1581,ZCTA5 01581,18836,18836,18836,18836,913,4.8
8600000US01583,1583,ZCTA5 01583,7639,7639,7639,7639,867,11.3
8600000US01585,1585,ZCTA5 01585,4661,4661,4661,4661,66,1.4
8600000US01588,1588,ZCTA5 01588,9864,9864,9864,9864,346,3.5
8600000US01590,1590,ZCTA5 01590,9297,9297,9297,9297,15,0.2
8600000US01602,1602,ZCTA5 01602,24166,24166,24166,24166,2796,11.6
8600000US01603,1603,ZCTA5 01603,19981,19981,19981,19981,4163,20.8
8600000US01604,1604,ZCTA5 01604,36772,36772,36772,36772,7370,20
8600000US01605,1605,ZCTA5 01605,28742,28742,28742,28742,8408,29.3
8600000US01606,1606,ZCTA5 01606,19375,19375,19375,19375,1573,8.1
8600000US01607,1607,ZCTA5 01607,8698,8698,8698,8698,1340,15.4
8600000US01608,1608,ZCTA5 01608,3371,3371,3371,3371,1348,40
8600000US01609,1609,ZCTA5 01609,20714,20714,20714,20714,3253,15.7
8600000US01610,1610,ZCTA5 01610,23438,23438,23438,23438,8462,36.1
8600000US01611,1611,ZCTA5 01611,2451,2451,2451,2451,193,7.9
8600000US01612,1612,ZCTA5 01612,4845,4845,4845,4845,139,2.9
8600000US01701,1701,ZCTA5 01701,32098,32098,32098,32098,1913,6
8600000US01702,1702,ZCTA5 01702,39226,39226,39226,39226,9725,24.8
8600000US01718,1718,ZCTA5 01718,716,716,716,716,43,6
8600000US01719,1719,ZCTA5 01719,5546,5546,5546,5546,161,2.9
8600000US01720,1720,ZCTA5 01720,22680,22680,22680,22680,414,1.8
